alpha,H
0.005,0.615
0.005368421052631579,0.88
0.005736842105263158,0.88
0.006105263157894737,0.88
0.0064736842105263155,0.88
0.006842105263157895,0.88
0.007210526315789474,0.88
0.007578947368421053,0.88
0.007947368421052632,0.88
0.00831578947368421,0.88
0.00868421052631579,0.88
0.009052631578947368,0.88
0.009421052631578948,0.835
0.009789473684210527,0.835
0.010157894736842105,0.835
0.010526315789473686,0.77
0.010894736842105263,0.77
0.011263157894736843,0.77
0.011631578947368422,0.725
0.012,0.725
